,lhub_ts,unique_user,total_count,url_host,startTime,endTime
0,,93,1456.0,pleasethousandth.org,1533931200000,1534017600000
1,,92,6668.0,thenstand-up.org,1533931200000,1534017600000
2,,91,7001.0,short.cross.net,1533931200000,1534017600000
3,,9,31.0,pass-by.ice.net,1533931200000,1534017600000
4,,9,42.0,grow.disapproving.edu,1533931200000,1534017600000
5,,9,47.0,superior.discussion.io,1533931200000,1534017600000
6,,9,31.0,proudburst.edu,1533931200000,1534017600000
7,,9,29.0,fightinggather.io,1533931200000,1534017600000
8,,9,20.0,intelligent.honour.io,1533931200000,1534017600000
9,,9,28.0,nephewcertificate.edu,1533931200000,1534017600000
10,,9,38.0,humorous.Sunday.edu,1533931200000,1534017600000
11,,9,9.0,imaginary.sore.com,1533931200000,1534017600000
12,,9,771.0,bad.something.com,1533931200000,1534017600000
13,,9,10.0,angryeasy.com,1533931200000,1534017600000
14,,9,111.0,shotfollow-up.gov,1533931200000,1534017600000
15,,9,14.0,live-togethertable.gov,1533931200000,1534017600000
16,,86,123.0,findpeaceful.gov,1533931200000,1534017600000
17,,83,605.0,newlyMrs.org,1533931200000,1534017600000
18,,81,114.0,ourselvestravel.gov,1533931200000,1534017600000
19,,8,18.0,look-down-ontall.com,1533931200000,1534017600000
20,,8,29.0,feelpull-off.edu,1533931200000,1534017600000
21,,8,9.0,car.successfully.io,1533931200000,1534017600000
22,,8,55.0,murderconcerned.edu,1533931200000,1534017600000
23,,8,9.0,spoilarrow.edu,1533931200000,1534017600000
24,,8,9.0,go-awayaggressive.org,1533931200000,1534017600000
25,,8,9.0,hear-of.resource.gov,1533931200000,1534017600000
26,,8,65.0,recognize.cake.org,1533931200000,1534017600000
27,,8,300.0,shape.computer.net,1533931200000,1534017600000
28,,8,133.0,unlessexcluding.com,1533931200000,1534017600000
29,,8,598.0,traveller.previous.edu,1533931200000,1534017600000
30,,8,9.0,pass-byemphasize.io,1533931200000,1534017600000
31,,8,61.0,tocrisis.io,1533931200000,1534017600000
32,,8,18.0,period.tax.io,1533931200000,1534017600000
33,,8,15.0,take-down.see-to.io,1533931200000,1534017600000
34,,8,158.0,govern.reference.net,1533931200000,1534017600000
35,,8,8.0,dealspeak.gov,1533931200000,1534017600000
36,,8,440.0,guest.cake.gov,1533931200000,1534017600000
37,,8,52.0,productreservation.io,1533931200000,1534017600000
38,,76,694.0,let.fold.io,1533931200000,1534017600000
39,,73,103.0,lackingbeat-up.org,1533931200000,1534017600000
40,,72,840.0,policesadly.com,1533931200000,1534017600000
41,,71,691.0,hollow.horse.com,1533931200000,1534017600000
42,,70,1166.0,idealopposition.net,1533931200000,1534017600000
43,,7,7.0,tear-up.boil.gov,1533931200000,1534017600000
44,,7,450.0,brokenlook-forward-to.edu,1533931200000,1534017600000
45,,7,8.0,desperatelywin.net,1533931200000,1534017600000
46,,7,169.0,check-into.retain.com,1533931200000,1534017600000
47,,7,318.0,governmentgo.org,1533931200000,1534017600000
48,,7,176.0,grey.acid.edu,1533931200000,1534017600000
49,,7,8.0,scared.ceremony.gov,1533931200000,1534017600000
50,,7,7.0,green.oil.net,1533931200000,1534017600000
51,,7,13.0,providerelate-to.edu,1533931200000,1534017600000
52,,7,17.0,yesterday.wind-1.io,1533931200000,1534017600000
53,,7,123.0,financial.note-down.org,1533931200000,1534017600000
54,,7,105.0,firepartly.org,1533931200000,1534017600000
55,,7,18.0,regional.include.edu,1533931200000,1534017600000
56,,7,9.0,statement.dare.gov,1533931200000,1534017600000
57,,7,49.0,determinationcontrol.org,1533931200000,1534017600000
58,,7,14.0,seventieth.retired.edu,1533931200000,1534017600000
59,,7,115.0,finishedpredict.edu,1533931200000,1534017600000
60,,7,61.0,qualified.study.edu,1533931200000,1534017600000
61,,7,336.0,board.restaurant.io,1533931200000,1534017600000
62,,7,7.0,carefully.aspect.io,1533931200000,1534017600000
63,,7,334.0,go-through-with.show-off.com,1533931200000,1534017600000
64,,7,10.0,pull-out.move.edu,1533931200000,1534017600000
65,,7,12.0,smallmarch.gov,1533931200000,1534017600000
66,,7,117.0,priority.upper.edu,1533931200000,1534017600000
67,,7,23.0,obviouslymid-.edu,1533931200000,1534017600000
68,,7,308.0,method.buyer.edu,1533931200000,1534017600000
69,,7,7.0,translatescare.net,1533931200000,1534017600000
70,,7,7.0,basic.June.org,1533931200000,1534017600000
71,,7,8.0,covered.vertical.io,1533931200000,1534017600000
72,,7,11.0,million.young.edu,1533931200000,1534017600000
73,,7,103.0,thirteenordinary.com,1533931200000,1534017600000
74,,7,22.0,evidence.opposed.org,1533931200000,1534017600000
75,,7,7.0,itcomedy.io,1533931200000,1534017600000
76,,7,485.0,put-away.into.org,1533931200000,1534017600000
77,,7,9.0,majorityinsulting.io,1533931200000,1534017600000
78,,66,895.0,spaceimplication.edu,1533931200000,1534017600000
79,,66,294.0,gambletypical.gov,1533931200000,1534017600000
80,,65,344.0,twiceshout.gov,1533931200000,1534017600000
81,,64,484.0,her.oh.net,1533931200000,1534017600000
82,,63,119.0,authoritydying.com,1533931200000,1534017600000
