lhub_ts,new_process_uri,ComputerName,New_Process_Name,Account_Name,Creator_Process_Name,Process_Command_Line,new_process_exe,startTime,endTime
1567698038000,C:\Temp\,Host2,C:\Temp\mstsc.exe,"Mark,-",C:\Windows\explorer.exe,"""C:\Temp\mstsc.exe""",dsac.exe,1568048400000,1568134800000
1567613472000,C:\Windows\System32\,Host2,C:\Windows\System32\mstsc.exe,"Gord,-",C:\Windows\explorer.exe,"""C:\Windows\System32\mstsc.exe""",dsac.exe,1568048400000,1568134800000
1567613304000,C:\Windows\System32\,Host2,C:\Windows\System32\mstsc.exe,"Gord,-",C:\Windows\explorer.exe,"""C:\Windows\System32\mstsc.exe""",mstsc.exe,1567616400000,1567702800000
1565812138000,C:\Windows\System32\,Host2,C:\Windows\System32\mstsc.exe,"Gord,-",C:\Windows\explorer.exe,"""C:\Windows\System32\mstsc.exe""",mstsc.exe,1567616400000,1567702800000
1550151247000,C:\Windows\System32\,zeta.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\explorer.exe,,mstsc.exe,1567530000000,1567616400000
1550082593000,C:\Windows\System32\,zeta.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1567530000000,1567616400000
1550059923000,C:\Windows\System32\,kha.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1565802000000,1565888400000
1550032937000,C:\Windows\System32\,kha.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1564802000000,1564888400000
1550032927000,C:\Windows\System32\,kha.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\explorer.exe,,mstsc.exe,1564802000000,1564888400000
1550021934000,C:\Windows\System32\,zeta.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1564802000000,1564888400000
1550021890000,C:\Windows\System32\,zeta.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1564802000000,1564888400000
1550020103000,C:\Windows\System32\,zeta.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1564802000000,1564888400000
1550016255000,C:\Windows\System32\,kha.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\System32\RuntimeBroker.exe,,mstsc.exe,1564802000000,1564888400000
1550003655000,C:\Windows\System32\,zeta.hq1.com,C:\Windows\System32\mstsc.exe,"mark,-",C:\Windows\explorer.exe,,mstsc.exe,1564802000000,1564888400000
1548703597000,C:\Windows\System32\,HQADC16.hq1.com,C:\Windows\System32\dsquery.exe,"Administrator,-",C:\Windows\System32\cmd.exe,,dsquery.exe,1564802000000,1564888400000
1548703581000,C:\Windows\System32\,HQADC16.hq1.com,C:\Windows\System32\dsquery.exe,"Administrator,-",C:\Windows\System32\cmd.exe,,dsquery.exe,1564802000000,1564888400000
1548703560000,C:\Windows\System32\,HQADC16.hq1.com,C:\Windows\System32\dsquery.exe,"Administrator,-",C:\Windows\System32\cmd.exe,,dsquery.exe,1564802000000,1564888400000
1548703560000,C:\Windows\System32\,Host2,C:\Windows\System32\dsac.exe,"Gord,-",C:\Windows\explorer.exe,"“C:\WINDOWS\system32\LDP.exe""",dsac.exe,1564802000000,1564888400000
1548703560000,C:\Windows\System32\,Host2,C:\Windows\System32\dsac.exe,"Gord2,-",C:\Windows\explorer.exe,“C:\WINDOWS\system32\DCDiag.exe”,dsac.exe,1564802000000,1564888400000
1548703560000,C:\Windows\System32\,Host2,C:\Windows\System32\dsac.exe,"Gord3,-",C:\Windows\explorer.exe,"“C:\WINDOWS\system32\LDP.exe""",dsac.exe,1564802000000,1564888400000
