lhub_ts,Account_Name,_time,index,New_Process_ID,Creator_Process_ID,Creator_Process_Name,Security_ID,ComputerName,New_Process_Name,Account_Domain,_kv
1550160752000,"Administrator,-",2019-02-14T10:12:32.000-06:00,wintel,0x2fe4,0x1080,C:\Windows\explorer.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-5M8M95H.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160752000,"Administrator,-",2019-02-14T10:12:32.000-06:00,wintel,0x2a30,0x1080,C:\Windows\explorer.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-5M8M95H.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160142000,"DELTA$,-",2019-02-14T10:02:22.000-06:00,wintel,0x2278,0x898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160142000,"DELTA$,-",2019-02-14T10:02:22.000-06:00,wintel,0x1d28,0x898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160142000,"DELTA$,-",2019-02-14T10:02:22.000-06:00,wintel,0xdc,0x898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160140000,"DELTA$,-",2019-02-14T10:02:20.000-06:00,wintel,0x1e90,0x898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160140000,"DELTA$,-",2019-02-14T10:02:20.000-06:00,wintel,0x13c0,0x898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160138000,"DELTA$,-",2019-02-14T10:02:18.000-06:00,wintel,0xfac,0x898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550158042000,"Administrator,-",2019-02-14T09:27:22.000-06:00,wintel,0x2458,0xf74,C:\Windows\explorer.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550158042000,"Administrator,-",2019-02-14T09:27:22.000-06:00,wintel,0x24a0,0xf74,C:\Windows\explorer.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157837000,"Administrator,-",2019-02-14T09:23:57.000-06:00,wintel,0x478,0xfd8,C:\Windows\explorer.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-AUPC1C5.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157615000,"KHA$,-",2019-02-14T09:20:15.000-06:00,wintel,0x15f4,0x16a0,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157615000,"KHA$,-",2019-02-14T09:20:15.000-06:00,wintel,0x164c,0x16a0,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157614000,"KHA$,-",2019-02-14T09:20:14.000-06:00,wintel,0x2364,0x16a0,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157613000,"KHA$,-",2019-02-14T09:20:13.000-06:00,wintel,0x1f74,0x16a0,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157613000,"KHA$,-",2019-02-14T09:20:13.000-06:00,wintel,0x1d04,0x16a0,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157612000,"KHA$,-",2019-02-14T09:20:12.000-06:00,wintel,0x1608,0x16a0,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",kha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157209000,"ALPHA$,Administrator",2019-02-14T09:13:29.000-06:00,wintel,0x1aec,0x2970,C:\Windows\explorer.exe,"S-1-5-18,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,HQ1",1
1550157179000,"Administrator,-",2019-02-14T09:12:59.000-06:00,wintel,0x22f4,0x518,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157164000,"Administrator,-",2019-02-14T09:12:44.000-06:00,wintel,0x2b38,0x518,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157157000,"Administrator,-",2019-02-14T09:12:37.000-06:00,wintel,0x23c4,0x518,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157116000,"Administrator,-",2019-02-14T09:11:56.000-06:00,wintel,0x25c4,0x518,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157056000,"Administrator,-",2019-02-14T09:10:56.000-06:00,wintel,0x2314,0x518,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550156987000,"Administrator,-",2019-02-14T09:09:47.000-06:00,wintel,0x1f1c,0x518,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",alpha.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
