lhub_ts,TargetUserID,_time,index,Workstation_Name,SourceUserID,SourceUserName,EventCode,ComputerName,Logon_Type,Account_Domain,TargetUserName,_kv,Source_Network_Address
1550161182000,0xCA563FB,2019-02-14T10:19:42.000-06:00,wintel,ALPHA,0x3E7,ALPHA$,4624,alpha.hq1.com,7,"HQ1,HQ1",eric,1,-
1550161181000,0xCA55A4E,2019-02-14T10:19:41.000-06:00,wintel,ALPHA,0x3E7,ALPHA$,4624,alpha.hq1.com,11,"HQ1,HQ1",eric,1,127.0.0.1
1550161179000,0xD9CC,2019-02-14T10:19:39.000-06:00,wintel,-,0x3E7,KHA$,4624,kha.hq1.com,2,"HQ1,Window Manager",DWM-1,1,-
1550161179000,0xD9A4,2019-02-14T10:19:39.000-06:00,wintel,-,0x3E7,KHA$,4624,kha.hq1.com,2,"HQ1,Window Manager",DWM-1,1,-
1550161179000,0x85B9,2019-02-14T10:19:39.000-06:00,wintel,-,0x3E7,KHA$,4624,kha.hq1.com,2,"HQ1,Font Driver Host",UMFD-1,1,-
1550161179000,0x81A6,2019-02-14T10:19:39.000-06:00,wintel,-,0x3E7,KHA$,4624,kha.hq1.com,2,"HQ1,Font Driver Host",UMFD-0,1,-
1550160728000,0x299A898,2019-02-14T10:12:08.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,7,"HQ1,HQ1",Administrator,1,-
1550160728000,0x299A81B,2019-02-14T10:12:08.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,127.0.0.1
1550160711000,0x29948D8,2019-02-14T10:11:51.000-06:00,wintel,-,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,2,"HQ1,Window Manager",DWM-5,1,-
1550160711000,0x29948BE,2019-02-14T10:11:51.000-06:00,wintel,-,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,2,"HQ1,Window Manager",DWM-5,1,-
1550160711000,0x2994543,2019-02-14T10:11:51.000-06:00,wintel,-,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,2,"HQ1,Font Driver Host",UMFD-5,1,-
1550160680000,0x2985184,2019-02-14T10:11:20.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160615000,0x296D35B,2019-02-14T10:10:15.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160552000,0x28B9BEE,2019-02-14T10:09:12.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160512000,0x2894A7C,2019-02-14T10:08:32.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160494000,0x288C761,2019-02-14T10:08:14.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160228000,0x279895A,2019-02-14T10:03:48.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160191000,0x26E0910,2019-02-14T10:03:11.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160126000,0x2675D84,2019-02-14T10:02:06.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160088000,0x25F0853,2019-02-14T10:01:28.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550160022000,0x256CFC6,2019-02-14T10:00:22.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,11,"HQ1,HQ1",Administrator,1,::1
1550159823000,0x23C6474,2019-02-14T09:57:03.000-06:00,wintel,WINDOWS-5M8M95H,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,2,"HQ1,HQ1",mark,1,127.0.0.1
1550159817000,0x23C16DE,2019-02-14T09:56:57.000-06:00,wintel,-,0x3E7,WINDOWS-5M8M95H$,4624,WINDOWS-5M8M95H.hq1.com,2,"HQ1,Window Manager",DWM-4,1,-
