lhub_ts,unique_user,total_count,url_host,startTime,endTime
,99,165.0,pleasethousandth.org,1534104000000,1534190400000
,98,190.0,thenstand-up.org,1534104000000,1534190400000
,92,132.0,short.cross.net,1534104000000,1534190400000
,91,122.0,pass-by.ice.net,1534104000000,1534190400000
,91,110.0,grow.disapproving.edu,1534104000000,1534190400000
,9,319.0,superior.discussion.io,1534104000000,1534190400000
,9,9.0,proudburst.edu,1534104000000,1534190400000
,9,11.0,fightinggather.io,1534104000000,1534190400000
,9,10.0,intelligent.honour.io,1534104000000,1534190400000
,9,25.0,nephewcertificate.edu,1534104000000,1534190400000
,9,322.0,humorous.Sunday.edu,1534104000000,1534190400000
,9,9.0,imaginary.sore.com,1534104000000,1534190400000
,9,17.0,bad.something.com,1534104000000,1534190400000
,9,9.0,angryeasy.com,1534104000000,1534190400000
,9,27.0,shotfollow-up.gov,1534104000000,1534190400000
,9,10.0,live-togethertable.gov,1534104000000,1534190400000
,9,10.0,findpeaceful.gov,1534104000000,1534190400000
,9,35.0,newlyMrs.org,1534104000000,1534190400000
,9,34.0,ourselvestravel.gov,1534104000000,1534190400000
,9,10.0,look-down-ontall.com,1534104000000,1534190400000
,9,34.0,feelpull-off.edu,1534104000000,1534190400000
,9,9.0,car.successfully.io,1534104000000,1534190400000
,9,445.0,murderconcerned.edu,1534104000000,1534190400000
,9,44.0,spoilarrow.edu,1534104000000,1534190400000
,9,10.0,go-awayaggressive.org,1534104000000,1534190400000
,9,13.0,hear-of.resource.gov,1534104000000,1534190400000
,9,9.0,recognize.cake.org,1534104000000,1534190400000
,9,14.0,shape.computer.net,1534104000000,1534190400000
,9,10.0,unlessexcluding.com,1534104000000,1534190400000
,9,16.0,traveller.previous.edu,1534104000000,1534190400000
,9,11.0,pass-byemphasize.io,1534104000000,1534190400000
,9,21.0,tocrisis.io,1534104000000,1534190400000
,9,13.0,period.tax.io,1534104000000,1534190400000
,9,25.0,take-down.see-to.io,1534104000000,1534190400000
,9,12.0,govern.reference.net,1534104000000,1534190400000
,9,9.0,dealspeak.gov,1534104000000,1534190400000
,9,34.0,guest.cake.gov,1534104000000,1534190400000
,9,16.0,productreservation.io,1534104000000,1534190400000
,9,123.0,let.fold.io,1534104000000,1534190400000
,9,9.0,lackingbeat-up.org,1534104000000,1534190400000
,9,9.0,policesadly.com,1534104000000,1534190400000
,9,12.0,hollow.horse.com,1534104000000,1534190400000
,9,107.0,idealopposition.net,1534104000000,1534190400000
,9,94.0,tear-up.boil.gov,1534104000000,1534190400000
,86,87.0,brokenlook-forward-to.edu,1534104000000,1534190400000
,85,92.0,desperatelywin.net,1534104000000,1534190400000
,85,101.0,check-into.retain.com,1534104000000,1534190400000
,83,210.0,governmentgo.org,1534104000000,1534190400000
,82,86.0,grey.acid.edu,1534104000000,1534190400000
,80,84.0,scared.ceremony.gov,1534104000000,1534190400000
,80,240.0,green.oil.net,1534104000000,1534190400000
,80,1623.0,providerelate-to.edu,1534104000000,1534190400000
,80,115.0,yesterday.wind-1.io,1534104000000,1534190400000
,80,164.0,financial.note-down.org,1534104000000,1534190400000
,80,91.0,firepartly.org,1534104000000,1534190400000
